,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
299,-33.88133333,22.40083333,7.26,30.83,348.05,0.08,0.43,2.07
300,-33.8815,22.4365,7.26,30.83,348.05,0.08,0.43,2.07
301,-33.99816667,20.44133333,2.62,36.51,290.04,0.03,0.41,4.58
302,-33.996,20.45583333,2.62,36.51,290.04,0.03,0.41,4.58
303,-33.96833333,21.30916667,2.65,37.4,326.95,0.03,0.41,4.69
304,-33.96633333,21.279,2.65,37.4,326.95,0.03,0.41,4.69
305,-33.87566667,22.30783333,7.26,30.83,348.05,0.08,0.43,2.07
306,-33.925,20.85666667,2.62,36.51,290.04,0.03,0.41,4.58
307,-33.8725,22.31133333,7.26,30.83,348.05,0.08,0.43,2.07
308,-33.86216667,22.29783333,7.26,30.83,348.05,0.08,0.43,2.07
309,-34.00516667,19.69716667,1.82,38.84,427.15,0.1,0.43,4.03
310,-33.94466667,20.849,2.62,36.51,290.04,0.03,0.41,4.58
311,-33.87383333,22.29416667,7.26,30.83,348.05,0.08,0.43,2.07
312,-33.87683333,22.433,7.26,30.83,348.05,0.08,0.43,2.07
313,-33.95683333,20.297,1.82,38.84,427.15,0.1,0.43,4.03
314,-33.9415,20.279,1.82,38.84,427.15,0.1,0.43,4.03
315,-33.94733333,20.38033333,2.62,36.51,290.04,0.03,0.41,4.58
316,-33.95133333,21.1225,2.65,37.4,326.95,0.03,0.41,4.69
317,-33.948,21.13766667,2.65,37.4,326.95,0.03,0.41,4.69
318,-33.90366667,20.85583333,2.62,36.51,290.04,0.03,0.41,4.58
319,-33.94416667,20.28366667,1.82,38.84,427.15,0.1,0.43,4.03
320,-34.01066667,19.69916667,1.82,38.84,427.15,0.1,0.43,4.03
321,-33.73566667,19.97366667,-1.1,36.98,622.27,0.15,0.55,3.74
322,-33.73966667,19.99783333,-1.1,36.98,622.27,0.15,0.55,3.74
323,-33.95133333,21.1225,2.65,37.4,326.95,0.03,0.41,4.69
324,-33.8915,22.0215,4.23,35.73,305.86,0.03,0.41,4.22
325,-33.87633333,22.031,4.23,35.73,305.86,0.03,0.41,4.22
326,-33.93866667,21.64216667,4.23,35.73,305.86,0.03,0.41,4.22
327,-33.941,21.63666667,4.23,35.73,305.86,0.03,0.41,4.22
328,-33.975,21.29833333,2.65,37.4,326.95,0.03,0.41,4.69
329,-33.86983333,20.1785,1.82,38.84,427.15,0.1,0.43,4.03
330,-33.937,21.05266667,2.65,37.4,326.95,0.03,0.41,4.69
331,-33.91266667,21.95,4.23,35.73,305.86,0.03,0.41,4.22
332,-33.97883333,20.358,2.62,36.51,290.04,0.03,0.41,4.58
333,-33.87083333,22.29333333,7.26,30.83,348.05,0.08,0.43,2.07
334,-33.8725,22.31183333,7.26,30.83,348.05,0.08,0.43,2.07
335,-34.01166667,19.6125,1.57,36.73,458.79,0.16,0.45,3.73
336,-33.97083333,21.301,2.65,37.4,326.95,0.03,0.41,4.69
337,-33.73666667,19.90333333,-1.1,36.98,622.27,0.15,0.55,3.74
338,-33.9475,21.1375,2.65,37.4,326.95,0.03,0.41,4.69
339,-33.96933333,21.3075,2.65,37.4,326.95,0.03,0.41,4.69
340,-33.941,20.27366667,1.82,38.84,427.15,0.1,0.43,4.03
341,-33.85316667,21.97583333,4.23,35.73,305.86,0.03,0.41,4.22
342,-33.73066667,19.89833333,-1.1,36.98,622.27,0.15,0.55,3.74
343,-33.86166667,22.25383333,7.26,30.83,348.05,0.08,0.43,2.07
344,-34.00783333,21.39083333,2.65,37.4,326.95,0.03,0.41,4.69
345,-33.94816667,20.35916667,2.62,36.51,290.04,0.03,0.41,4.58
346,-33.74466667,19.99083333,-1.1,36.98,622.27,0.15,0.55,3.74
347,-33.9495,21.1275,2.65,37.4,326.95,0.03,0.41,4.69
348,-33.88833333,21.98166667,4.23,35.73,305.86,0.03,0.41,4.22
349,-33.73333333,19.89916667,-1.1,36.98,622.27,0.15,0.55,3.74
350,-33.7325,19.90666667,-1.1,36.98,622.27,0.15,0.55,3.74
351,-33.88516667,22.02233333,4.23,35.73,305.86,0.03,0.41,4.22
352,-33.8955,20.8635,2.62,36.51,290.04,0.03,0.41,4.58
353,-33.877,22.3075,7.26,30.83,348.05,0.08,0.43,2.07
354,-33.94833333,21.13383333,2.65,37.4,326.95,0.03,0.41,4.69
355,-33.93416667,21.04833333,2.65,37.4,326.95,0.03,0.41,4.69
356,-33.955,21.16833333,2.65,37.4,326.95,0.03,0.41,4.69
357,-33.88133333,22.44083333,7.26,30.83,348.05,0.08,0.43,2.07
358,-33.87733333,22.44283333,7.26,30.83,348.05,0.08,0.43,2.07
359,-34.016,19.65433333,1.57,36.73,458.79,0.16,0.45,3.73
360,-33.7315,19.89833333,-1.1,36.98,622.27,0.15,0.55,3.74
